modality,M,q,o,n_subjects,n_genuine,n_impostor,c_tau_DEV,EER,c_EER,TAR_DEV,FMR_DEV,FNMR_DEV,Dsys_DEV
voice,32,4,0,42,420,17220,24,0.05448197773164748,18,0.5119047619047619,0.0004645760743321719,0.48809523809523814,0.1373904284117684
voice,32,8,0,42,420,17220,19,0.05591956080677885,13,0.6857142857142857,0.0009291521486643438,0.3142857142857143,0.0640405166033787
voice,32,16,0,42,420,17220,17,0.049215179813232666,11,0.6571428571428571,0.0005807200929152149,0.34285714285714286,0.08997233301922923
voice,32,32,0,42,420,17220,14,0.0373015873015873,8,0.7309523809523809,0.0006387921022067364,0.2690476190476191,0.13945570610220737
voice,64,4,0,42,420,17220,43,0.031040950296967802,34,0.7738095238095238,0.0008710801393728223,0.22619047619047616,0.1963994301746319
voice,64,8,0,42,420,17220,36,0.03661646994980328,25,0.7785714285714286,0.0009291521486643438,0.22142857142857142,0.15524712934158585
voice,64,16,0,42,420,17220,30,0.028350970017636683,20,0.7904761904761904,0.0007549361207897793,0.20952380952380956,0.12625343045813123
voice,64,32,0,42,420,17220,25,0.023496744542320952,15,0.8238095238095238,0.0006968641114982578,0.17619047619047623,0.06843931602491743
voice,128,4,0,42,420,17220,83,0.026077097505668934,66,0.8119047619047619,0.0009872241579558653,0.1880952380952381,0.21376048229644495
voice,128,8,0,42,420,17220,68,0.02464576074332172,50,0.8238095238095238,0.0009291521486643438,0.17619047619047623,0.21943236775585742
voice,128,16,0,42,420,17220,58,0.01904761904761905,40,0.830952380952381,0.0009872241579558653,0.169047619047619,0.10973871526287383
voice,128,32,0,42,420,17220,47,0.01780855199222546,30,0.861904761904762,0.0009872241579558653,0.13809523809523805,0.11665916907471875
voice,256,4,0,42,420,17220,161,0.019581280788177342,133,0.8761904761904762,0.0009872241579558653,0.12380952380952381,0.2514963186506918
voice,256,8,0,42,420,17220,131,0.02142857142857143,98,0.8714285714285714,0.0009872241579558653,0.12857142857142856,0.23204931835616294
voice,256,16,0,42,420,17220,104,0.018444444444444444,75,0.9071428571428571,0.0008710801393728223,0.09285714285714286,0.14136672977311954
voice,256,32,0,42,420,17220,87,0.01828087167070218,58,0.9,0.0009291521486643438,0.09999999999999998,0.1427005860270003
voice,32,4,1,42,420,17220,23,0.045738295318127245,17,0.5833333333333334,0.0004645760743321719,0.41666666666666663,0.07025304258243507
voice,32,8,1,42,420,17220,18,0.0388748419721871,13,0.7023809523809523,0.0005226480836236934,0.29761904761904767,0.15418264662745504
voice,32,16,1,42,420,17220,14,0.024836309523809524,10,0.8047619047619048,0.0008710801393728223,0.1952380952380952,0.05169940801170041
voice,32,32,1,42,420,17220,12,0.02653249144961852,7,0.8380952380952381,0.0006387921022067364,0.16190476190476188,0.12871981653851353
voice,64,4,1,42,420,17220,39,0.024660685530250748,32,0.8666666666666667,0.0009291521486643438,0.1333333333333333,0.14050909780498969
voice,64,8,1,42,420,17220,31,0.01816101816101816,25,0.861904761904762,0.0007549361207897793,0.13809523809523805,0.10187554236068369
voice,64,16,1,42,420,17220,25,0.0166256157635468,18,0.8904761904761904,0.0008130081300813008,0.10952380952380958,0.13369635540689295
voice,64,32,1,42,420,17220,20,0.017233560090702947,14,0.9214285714285714,0.0008130081300813008,0.07857142857142863,0.06965322304609416
voice,128,4,1,42,420,17220,73,0.012306046013911182,64,0.9238095238095239,0.0007549361207897793,0.07619047619047614,0.12066641374873054
voice,128,8,1,42,420,17220,57,0.010793650793650793,48,0.9333333333333333,0.0006387921022067364,0.06666666666666665,0.1552325666741784
voice,128,16,1,42,420,17220,45,0.00923141186299081,36,0.9452380952380952,0.0008130081300813008,0.05476190476190479,0.13260755303971636
voice,128,32,1,42,420,17220,37,0.009523809523809525,29,0.9523809523809523,0.0008130081300813008,0.04761904761904767,0.05251857190074913
voice,256,4,1,42,420,17220,141,0.009523809523809525,126,0.9595238095238096,0.0007549361207897793,0.04047619047619044,0.20916199784989814
voice,256,8,1,42,420,17220,109,0.005900621118012423,95,0.9523809523809523,0.0008710801393728223,0.04761904761904767,0.2815447577175441
voice,256,16,1,42,420,17220,84,0.008771929824561403,70,0.9666666666666667,0.0009872241579558653,0.033333333333333326,0.19540367623761273
voice,256,32,1,42,420,17220,67,0.007142857142857143,55,0.9761904761904762,0.0008710801393728223,0.023809523809523836,0.1072645528611956
voice,32,4,2,42,420,17220,22,0.03935333710763037,17,0.6833333333333333,0.0005226480836236934,0.31666666666666665,0.19137662750657985
voice,32,8,2,42,420,17220,18,0.02142857142857143,13,0.7047619047619048,0.0008710801393728223,0.2952380952380952,0.11697129320289643
voice,32,16,2,42,420,17220,14,0.024180581323438467,9,0.7952380952380952,0.0008130081300813008,0.2047619047619048,0.08589554325033043
voice,32,32,2,42,420,17220,12,0.02550220088035214,7,0.8023809523809524,0.0003484320557491289,0.19761904761904758,0.04291588079710068
voice,64,4,2,42,420,17220,39,0.02073689811119979,33,0.9119047619047619,0.0005807200929152149,0.08809523809523812,0.16788376267374933
voice,64,8,2,42,420,17220,33,0.016666666666666666,24,0.861904761904762,0.0007549361207897793,0.13809523809523805,0.15877368917529974
voice,64,16,2,42,420,17220,26,0.013978127136021872,19,0.9119047619047619,0.0007549361207897793,0.08809523809523812,0.07903051132063302
voice,64,32,2,42,420,17220,21,0.01659495123350545,14,0.9095238095238095,0.0006968641114982578,0.09047619047619049,0.08860046456747067
voice,128,4,2,42,420,17220,74,0.009767529058867642,66,0.9476190476190476,0.0008130081300813008,0.05238095238095242,0.23935471361013594
voice,128,8,2,42,420,17220,58,0.009523809523809525,48,0.9547619047619048,0.0008130081300813008,0.04523809523809519,0.16724965406845438
voice,128,16,2,42,420,17220,45,0.007738095238095238,37,0.9619047619047619,0.0006968641114982578,0.03809523809523807,0.10363864637019643
voice,128,32,2,42,420,17220,38,0.013338453661034306,27,0.9452380952380952,0.0006387921022067364,0.05476190476190479,0.16782691581905987
voice,256,4,2,42,420,17220,141,0.007142857142857143,130,0.9714285714285714,0.0009291521486643438,0.02857142857142858,0.2486553491235278
voice,256,8,2,42,420,17220,109,0.006152758132956153,96,0.9761904761904762,0.0009291521486643438,0.023809523809523836,0.19674794809393453
voice,256,16,2,42,420,17220,82,0.006596409055425449,72,0.9761904761904762,0.0009872241579558653,0.023809523809523836,0.17342733864136076
voice,256,32,2,42,420,17220,69,0.009221466364323508,52,0.9714285714285714,0.0008710801393728223,0.02857142857142858,0.14967565675300937
voice,32,4,3,42,420,17220,21,0.04314477468839885,17,0.7476190476190476,0.0008710801393728223,0.2523809523809524,0.11435547974855352
voice,32,8,3,42,420,17220,16,0.030549913488302112,12,0.8666666666666667,0.0008710801393728223,0.1333333333333333,0.11760400514589812
voice,32,16,3,42,420,17220,13,0.02579854987262395,9,0.8714285714285714,0.0006387921022067364,0.12857142857142856,0.044617301675914836
voice,32,32,3,42,420,17220,10,0.020441788882853522,7,0.9119047619047619,0.0009291521486643438,0.08809523809523812,0.023292435719620194
voice,64,4,3,42,420,17220,39,0.022778202189966894,33,0.9,0.0007549361207897793,0.09999999999999998,0.15701156241432127
voice,64,8,3,42,420,17220,29,0.015319548872180452,24,0.9380952380952381,0.0005226480836236934,0.06190476190476191,0.12183605948605142
voice,64,16,3,42,420,17220,22,0.01698497580850522,17,0.9452380952380952,0.0005807200929152149,0.05476190476190479,0.12803635159332355
voice,64,32,3,42,420,17220,18,0.010099424385138672,14,0.95,0.0007549361207897793,0.050000000000000044,0.1235808174018865
voice,128,4,3,42,420,17220,71,0.009523809523809525,64,0.9595238095238096,0.0005807200929152149,0.04047619047619044,0.2101571019452547
voice,128,8,3,42,420,17220,52,0.007581453634085213,46,0.9857142857142858,0.0008130081300813008,0.014285714285714235,0.14002248765724484
voice,128,16,3,42,420,17220,39,0.004761904761904762,34,0.9833333333333333,0.0008130081300813008,0.01666666666666672,0.16002306695181068
voice,128,32,3,42,420,17220,32,0.005334538878842676,27,0.9833333333333333,0.0008130081300813008,0.01666666666666672,0.1405909600814617
voice,256,4,3,42,420,17220,136,0.004761904761904762,128,0.9833333333333333,0.0007549361207897793,0.01666666666666672,0.22997716336987084
voice,256,8,3,42,420,17220,98,0.004617604617604618,90,0.9880952380952381,0.0008710801393728223,0.011904761904761862,0.17174619349214937
voice,256,16,3,42,420,17220,74,0.004761904761904762,66,0.9952380952380953,0.0009872241579558653,0.004761904761904745,0.2054338444741759
voice,256,32,3,42,420,17220,58,0.004679802955665025,51,0.9904761904761905,0.0008130081300813008,0.00952380952380949,0.13335782438269744
voice,32,4,4,42,420,17220,21,0.04151305683563748,17,0.7428571428571429,0.0007549361207897793,0.2571428571428571,0.09016376940316503
voice,32,8,4,42,420,17220,17,0.0210985384252711,13,0.861904761904762,0.0006387921022067364,0.13809523809523805,0.09160691442398511
voice,32,16,4,42,420,17220,13,0.016627793974732748,10,0.9238095238095239,0.0006387921022067364,0.07619047619047614,0.10852962662132434
voice,32,32,4,42,420,17220,11,0.01755031909671085,7,0.9,0.0005807200929152149,0.09999999999999998,0.03943338343948356
voice,64,4,4,42,420,17220,37,0.021440566150893604,32,0.930952380952381,0.0009872241579558653,0.06904761904761902,0.13666333598261166
voice,64,8,4,42,420,17220,28,0.008351934523809525,25,0.9761904761904762,0.0008710801393728223,0.023809523809523836,0.09753930383121248
voice,64,16,4,42,420,17220,24,0.007200229489386116,19,0.9595238095238096,0.0006387921022067364,0.04047619047619044,0.12240691793043788
voice,64,32,4,42,420,17220,18,0.00796423372842587,14,0.9642857142857143,0.0004065040650406504,0.0357142857142857,0.12168129558811466
voice,128,4,4,42,420,17220,70,0.007142857142857143,63,0.9833333333333333,0.0008130081300813008,0.01666666666666672,0.23277459828779373
voice,128,8,4,42,420,17220,51,0.004071773636991028,47,0.9904761904761905,0.0007549361207897793,0.00952380952380949,0.2026180225528297
voice,128,16,4,42,420,17220,41,0.004761904761904762,35,0.9857142857142858,0.0008710801393728223,0.014285714285714235,0.16259028682562998
voice,128,32,4,42,420,17220,32,0.004761904761904762,26,0.9904761904761905,0.0007549361207897793,0.00952380952380949,0.07247059844423989
voice,256,4,4,42,420,17220,132,0.004761904761904762,123,0.9928571428571429,0.0009872241579558653,0.0071428571428571175,0.35392523120682995
voice,256,8,4,42,420,17220,95,0.0033041788143828963,87,0.9952380952380953,0.0008710801393728223,0.004761904761904745,0.18980481758145684
voice,256,16,4,42,420,17220,71,0.0031593406593406594,66,0.9952380952380953,0.0008130081300813008,0.004761904761904745,0.17719968410273246
voice,256,32,4,42,420,17220,55,0.002380952380952381,49,0.9952380952380953,0.0009291521486643438,0.004761904761904745,0.1347769554259671
