modality,M,q,o,n_subjects,n_genuine,n_impostor,c_tau_DEV,EER,c_EER,TAR_DEV,FMR_DEV,FNMR_DEV,Dsys_DEV
face,32,4,0,42,262,10742,22,0.06835433551384859,15,0.37404580152671757,0.0003723701359150996,0.6259541984732824,0.18932000699359236
face,32,8,0,42,262,10742,18,0.06296420466267795,10,0.5190839694656488,0.0003723701359150996,0.48091603053435117,0.09955848742919231
face,32,16,0,42,262,10742,13,0.04742761642350603,7,0.6526717557251909,0.0008378328058089741,0.34732824427480913,0.0328349499193155
face,32,32,0,42,262,10742,11,0.05059698571148953,5,0.6908396946564885,0.0006516477378514243,0.30916030534351147,0.05490473973748766
face,64,4,0,42,262,10742,39,0.04924595047477192,28,0.7061068702290076,0.0006516477378514243,0.29389312977099236,0.13877585031344952
face,64,8,0,42,262,10742,32,0.04172020255460661,20,0.7290076335877863,0.000930925339787749,0.2709923664122137,0.1508322142702081
face,64,16,0,42,262,10742,27,0.0314470627281779,14,0.6030534351145038,0.000930925339787749,0.3969465648854962,0.13787110061217783
face,64,32,0,42,262,10742,21,0.030891060854676466,11,0.7251908396946565,0.0008378328058089741,0.2748091603053435,0.07653922441850908
face,128,4,0,42,262,10742,74,0.03816793893129771,56,0.7862595419847328,0.0008378328058089741,0.2137404580152672,0.19272098806613272
face,128,8,0,42,262,10742,59,0.030426328676364682,38,0.7709923664122137,0.0008378328058089741,0.2290076335877863,0.16035725949526555
face,128,16,0,42,262,10742,48,0.030534351145038167,27,0.7748091603053435,0.0008378328058089741,0.22519083969465647,0.13175130978952954
face,128,32,0,42,262,10742,37,0.030063142022429556,19,0.8091603053435115,0.0008378328058089741,0.19083969465648853,0.06233247337094944
face,256,4,0,42,262,10742,145,0.031050134103569216,110,0.8358778625954199,0.0008378328058089741,0.16412213740458015,0.20257002841275012
face,256,8,0,42,262,10742,118,0.029096138953424052,75,0.7900763358778626,0.000930925339787749,0.20992366412213737,0.1901859922697613
face,256,16,0,42,262,10742,94,0.03435114503816794,50,0.7938931297709924,0.000930925339787749,0.20610687022900764,0.16964514114939327
face,256,32,0,42,262,10742,83,0.030341095758044254,37,0.7404580152671756,0.000930925339787749,0.2595419847328244,0.20464674072489336
face,32,4,1,42,262,10742,21,0.06211493005773627,15,0.4847328244274809,0.0007447402718301992,0.5152671755725191,0.15969309388504266
face,32,8,1,42,262,10742,17,0.054510267713149124,10,0.5916030534351145,0.0008378328058089741,0.40839694656488545,0.16888935660651555
face,32,16,1,42,262,10742,14,0.05280063448002379,7,0.5419847328244275,0.0007447402718301992,0.4580152671755725,0.04344869096168857
face,32,32,1,42,262,10742,12,0.05605675071323926,5,0.5114503816793893,0.000930925339787749,0.4885496183206107,0.036944574638872664
face,64,4,1,42,262,10742,39,0.037567544386311005,29,0.6603053435114504,0.0005585552038726494,0.3396946564885496,0.10411382892085878
face,64,8,1,42,262,10742,30,0.03816793893129771,19,0.7595419847328244,0.0007447402718301992,0.24045801526717558,0.10493302496680654
face,64,16,1,42,262,10742,26,0.039440203562340966,13,0.6717557251908397,0.0007447402718301992,0.3282442748091603,0.07338610911217683
face,64,32,1,42,262,10742,20,0.03993200333568542,9,0.7099236641221374,0.0007447402718301992,0.29007633587786263,0.09173563869582423
face,128,4,1,42,262,10742,75,0.03296321998612075,56,0.7290076335877863,0.0008378328058089741,0.2709923664122137,0.17816393931648444
face,128,8,1,42,262,10742,54,0.03545714781401804,36,0.8740458015267175,0.0008378328058089741,0.12595419847328249,0.18812137651440347
face,128,16,1,42,262,10742,45,0.02548633341541492,27,0.7900763358778626,0.000930925339787749,0.20992366412213737,0.09292717824618564
face,128,32,1,42,262,10742,37,0.0281273640052266,18,0.7862595419847328,0.000930925339787749,0.2137404580152672,0.13203237812938495
face,256,4,1,42,262,10742,140,0.030534351145038167,108,0.8625954198473282,0.000930925339787749,0.13740458015267176,0.21193079358415445
face,256,8,1,42,262,10742,104,0.030534351145038167,72,0.8931297709923665,0.0008378328058089741,0.10687022900763354,0.19669177850474584
face,256,16,1,42,262,10742,86,0.026111716951411606,52,0.851145038167939,0.0007447402718301992,0.14885496183206104,0.13923543436635827
face,256,32,1,42,262,10742,68,0.028390672383143363,35,0.8625954198473282,0.000930925339787749,0.13740458015267176,0.13310029094866038
face,32,4,2,42,262,10742,21,0.057019918030070366,15,0.6030534351145038,0.0007447402718301992,0.3969465648854962,0.09115334104050016
face,32,8,2,42,262,10742,16,0.048423286101016996,10,0.7061068702290076,0.0003723701359150996,0.29389312977099236,0.10142847633580007
face,32,16,2,42,262,10742,13,0.051891762009500395,7,0.7061068702290076,0.0006516477378514243,0.29389312977099236,0.1199243434548809
face,32,32,2,42,262,10742,11,0.04539514573937433,5,0.7519083969465649,0.0007447402718301992,0.24809160305343514,0.06960635188451729
face,64,4,2,42,262,10742,37,0.03396733336176383,29,0.7557251908396947,0.0007447402718301992,0.2442748091603053,0.17774895779904343
face,64,8,2,42,262,10742,28,0.03603211644187794,19,0.8206106870229007,0.0008378328058089741,0.17938931297709926,0.12346617694382983
face,64,16,2,42,262,10742,23,0.03741709423100988,13,0.8091603053435115,0.0007447402718301992,0.19083969465648853,0.08025066031412502
face,64,32,2,42,262,10742,19,0.03517746124183521,9,0.8053435114503816,0.0006516477378514243,0.19465648854961837,0.06038410976245591
face,128,4,2,42,262,10742,72,0.026717557251908396,57,0.8282442748091603,0.000930925339787749,0.1717557251908397,0.28280418656365836
face,128,8,2,42,262,10742,55,0.03065437611023093,39,0.8702290076335878,0.000930925339787749,0.1297709923664122,0.19493797168647964
face,128,16,2,42,262,10742,41,0.026717557251908396,27,0.8969465648854962,0.0007447402718301992,0.10305343511450382,0.136898772167983
face,128,32,2,42,262,10742,36,0.022900763358778626,19,0.8778625954198473,0.000930925339787749,0.12213740458015265,0.21001707454875304
face,256,4,2,42,262,10742,140,0.026717557251908396,110,0.8778625954198473,0.000930925339787749,0.12213740458015265,0.24167604337227935
face,256,8,2,42,262,10742,114,0.030534351145038167,74,0.8206106870229007,0.0008378328058089741,0.17938931297709926,0.20806702038931474
face,256,16,2,42,262,10742,83,0.026717557251908396,50,0.8854961832061069,0.0008378328058089741,0.1145038167938931,0.14811459252582995
face,256,32,2,42,262,10742,74,0.022900763358778626,36,0.851145038167939,0.000930925339787749,0.14885496183206104,0.20015901835864353
face,32,4,3,42,262,10742,20,0.04920937840785169,15,0.6564885496183206,0.0008378328058089741,0.3435114503816794,0.09780117657602731
face,32,8,3,42,262,10742,16,0.04187587595760025,10,0.6259541984732825,0.0007447402718301992,0.3740458015267175,0.10221185837547689
face,32,16,3,42,262,10742,13,0.045059372349448686,7,0.683206106870229,0.0006516477378514243,0.316793893129771,0.05974609641130809
face,32,32,3,42,262,10742,11,0.044321405566900104,6,0.6908396946564885,0.000930925339787749,0.30916030534351147,0.06611963231470917
face,64,4,3,42,262,10742,37,0.03730852838582478,28,0.7748091603053435,0.0007447402718301992,0.22519083969465647,0.17901307902545452
face,64,8,3,42,262,10742,29,0.036910131852879946,19,0.8053435114503816,0.000930925339787749,0.19465648854961837,0.11764352973204015
face,64,16,3,42,262,10742,28,0.03769288733086525,13,0.5725190839694656,0.0008378328058089741,0.4274809160305344,0.07171903852746761
face,64,32,3,42,262,10742,22,0.03285052521693743,10,0.683206106870229,0.0006516477378514243,0.316793893129771,0.08554435849953275
face,128,4,3,42,262,10742,70,0.030534351145038167,55,0.8549618320610687,0.000930925339787749,0.14503816793893132,0.16282784161162364
face,128,8,3,42,262,10742,57,0.03134958867560957,36,0.8129770992366412,0.0007447402718301992,0.1870229007633588,0.23406035377757584
face,128,16,3,42,262,10742,47,0.026717557251908396,26,0.7824427480916031,0.0005585552038726494,0.21755725190839692,0.13617423308164708
face,128,32,3,42,262,10742,39,0.022900763358778626,19,0.7480916030534351,0.0005585552038726494,0.25190839694656486,0.13837527261210308
face,256,4,3,42,262,10742,137,0.026717557251908396,108,0.8854961832061069,0.0007447402718301992,0.1145038167938931,0.2373319943442713
face,256,8,3,42,262,10742,102,0.026717557251908396,72,0.9007633587786259,0.0006516477378514243,0.0992366412213741,0.16595589691614307
face,256,16,3,42,262,10742,81,0.023685036076545016,50,0.8740458015267175,0.0007447402718301992,0.12595419847328249,0.26656572288160546
